rowid_test,type,feature,value,approach,dataset_name,syn_name,run_model,model_name,timestamp
3137,syn,parents,-0.0684019636906236,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3158,syn,parents,-0.144851557090102,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3243,syn,parents,-0.0795585139599531,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3265,syn,parents,-0.0944582420269654,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3306,syn,parents,-0.106997146237066,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3320,syn,parents,-0.116483522514675,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3335,syn,parents,0.000555492005863544,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3399,syn,parents,-0.0730094320256188,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3403,syn,parents,-0.0132905737274689,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3571,syn,parents,0.0176349521004085,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3603,syn,parents,-0.0718506350755551,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3641,syn,parents,-0.0761196052788634,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3645,syn,parents,-0.0831946635224197,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3680,syn,parents,-0.106085112048097,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3681,syn,parents,-0.0946223949232264,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3692,syn,parents,-0.113709140539048,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3706,syn,parents,-0.0914967903837341,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3716,syn,parents,-0.0764130621198286,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3751,syn,parents,-0.1166036412391,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3779,syn,parents,-0.105251884925568,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3809,syn,parents,-0.113709140539048,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3822,syn,parents,-0.123266984748139,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3832,syn,parents,-0.0939385798658364,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3841,syn,parents,0.0176349521004085,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3872,syn,parents,-0.107450367635215,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3887,syn,parents,-0.120404736758504,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3966,real,has_nurs,-0.00151851878076009,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3983,real,has_nurs,0.0481671555273225,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4062,real,has_nurs,0.0362277926247952,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4073,real,has_nurs,0.050702523946969,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4076,real,has_nurs,0.0444379801933817,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4079,real,has_nurs,0.0139455735013308,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4093,real,has_nurs,0.0384323488474765,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
